tiempo,salida,entrada
80,0.0269,10
80.1,-0.044,10
80.2,-0.0418,10
80.3,0.0664,10
80.4,0.1795,10
80.5,0.0984,10
80.6,0.0795,10
80.7,-0.0244,10
80.8,0.1792,10
80.9,-0.0383,10
81,-0.1847,10
81.1,-0.0021,10
81.2,0.0529,10
81.3,-0.0189,10
81.4,0.1289,10
81.5,0.063,10
81.6,-0.0328,10
81.7,0.1217,10
81.8,0.26,10
81.9,-0.0591,10
82,0.0622,10
82.1,0.0019,10
82.2,0.0059,10
82.3,-0.0026,10
82.4,-0.061,10
82.5,-0.1004,10
82.6,0.0484,10
82.7,0.0826,10
82.8,-0.0362,10
82.9,-0.1717,10
83,0.0774,10
83.1,0.0596,10
83.2,-0.0126,10
83.3,0.1732,10
83.4,-0.0087,10
83.5,0.1212,10
83.6,0.1038,10
83.7,0.0681,10
83.8,0.0722,10
83.9,0.1681,10
84,0.1769,10
84.1,0.0323,10
84.2,-0.0171,10
84.3,-0.0844,10
84.4,-0.0602,10
84.5,0.0933,10
84.6,-0.1237,10
84.7,0.062,10
84.8,-0.0051,10
84.9,0.0535,10
85,-0.1106,10
85.1,-0.0003,10
85.2,-0.023,10
85.3,-0.1991,10
85.4,-0.0214,10
85.5,-0.0043,10
85.6,0.103,10
85.7,0.1131,10
85.8,0.0341,10
85.9,0.1038,10
86,0.0122,10
86.1,0.2502,10
86.2,-0.1064,10
86.3,0.1033,10
86.4,-0.0548,10
86.5,-0.0541,10
86.6,0.1575,10
86.7,-0.0379,10
86.8,0.0165,10
86.9,-0.1628,10
87,0.0828,10
87.1,0.0002,10
87.2,-0.0721,10
87.3,0.0877,10
87.4,0.038,10
87.5,-0.0034,10
87.6,-0.0549,10
87.7,-0.1199,10
87.8,-0.0006,10
87.9,0.0295,10
88,-0.0733,10
88.1,-0.0415,10
88.2,0.0882,10
88.3,-0.0454,10
88.4,0.0069,10
88.5,0.1119,10
88.6,-0.0127,10
88.7,-0.1557,10
88.8,-0.0033,10
88.9,0.1264,10
89,-0.0308,10
89.1,-0.032,10
89.2,0.0913,10
89.3,0.2139,10
89.4,0.0487,10
89.5,0.0768,10
89.6,0.0534,10
89.7,-0.0368,10
89.8,-0.0743,10
89.9,0.1234,10
90,0.1282,10
90.1,0.1298,10
90.2,0.1613,10
90.3,-0.162,10
90.4,0.047,10
90.5,-0.0644,10
90.6,-0.1136,10
90.7,-0.109,10
90.8,-0.0248,10
90.9,0.1078,10
91,0.0678,10
91.1,0.0765,10
91.2,-0.0483,10
91.3,0.0092,10
91.4,0.1407,10
91.5,0.1279,10
91.6,0.0654,10
91.7,0.0212,10
91.8,0.1209,10
91.9,-0.134,10
92,0.0957,10
92.1,-0.0072,10
92.2,0.289,10
92.3,-0.1329,10
92.4,0.048,10
92.5,0.0698,10
